Timestamp,Motor ID,Position,Speed,Current,Temperature,Error Code
2024-12-05 10:13:28.525,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:28.628,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:28.736,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:28.839,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:28.947,1,37.7,10.0,0.0,28,0
2024-12-05 10:13:29.051,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:29.156,1,37.7,-10.0,0.0,28,0
2024-12-05 10:13:29.259,1,37.7,10.0,0.0,28,0
2024-12-05 10:13:29.362,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:29.465,1,37.7,-10.0,0.0,28,0
2024-12-05 10:13:29.563,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:29.661,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:29.763,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:29.861,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:29.966,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:30.066,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:30.166,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:30.267,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:30.360,1,37.7,10.0,0.0,28,0
2024-12-05 10:13:30.464,1,37.7,10.0,0.0,28,0
2024-12-05 10:13:30.567,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:30.666,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:30.765,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:30.865,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:30.967,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:31.062,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:31.168,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:31.267,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:31.367,1,37.7,-10.0,0.0,28,0
2024-12-05 10:13:31.467,1,37.7,10.0,0.0,28,0
2024-12-05 10:13:31.567,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:31.667,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:31.771,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:31.862,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:31.960,1,37.7,0.0,0.0,28,0
2024-12-05 10:13:32.060,1,37.7,0.0,0.0,28,0
